year/week,COJEDES-VE
1/2/2005,6
1/9/2005,3
1/16/2005,1
1/23/2005,2
1/30/2005,3
2/6/2005,2
2/13/2005,3
2/20/2005,3
2/27/2005,4
3/6/2005,2
3/13/2005,1
3/20/2005,1
3/27/2005,1
4/3/2005,0
4/10/2005,3
4/17/2005,2
4/24/2005,2
5/1/2005,2
5/8/2005,1
5/15/2005,3
5/22/2005,2
5/29/2005,3
6/5/2005,3
6/12/2005,5
6/19/2005,5
6/26/2005,3
7/3/2005,3
7/10/2005,7
7/17/2005,8
7/24/2005,10
7/31/2005,7
8/7/2005,15
8/14/2005,23
8/21/2005,21
8/28/2005,24
9/4/2005,9
9/11/2005,20
9/18/2005,36
9/25/2005,42
10/2/2005,30
10/9/2005,21
10/16/2005,22
10/23/2005,28
10/30/2005,11
11/6/2005,16
11/13/2005,17
11/20/2005,17
11/27/2005,17
12/4/2005,25
12/11/2005,11
12/18/2005,18
12/25/2005,8
1/1/2006,8
1/8/2006,12
1/15/2006,22
1/22/2006,19
1/29/2006,15
2/5/2006,13
2/12/2006,10
2/19/2006,6
2/26/2006,4
3/5/2006,1
3/12/2006,5
3/19/2006,9
3/26/2006,6
4/2/2006,11
4/9/2006,7
4/16/2006,10
4/23/2006,8
4/30/2006,0
5/7/2006,4
5/14/2006,16
5/21/2006,23
5/28/2006,20
6/4/2006,13
6/11/2006,18
6/18/2006,15
6/25/2006,11
7/2/2006,5
7/9/2006,7
7/16/2006,13
7/23/2006,11
7/30/2006,12
8/6/2006,7
8/13/2006,15
8/20/2006,16
8/27/2006,14
9/3/2006,9
9/10/2006,11
9/17/2006,0
9/24/2006,13
10/1/2006,20
10/8/2006,13
10/15/2006,14
10/22/2006,18
10/29/2006,12
11/5/2006,16
11/12/2006,11
11/19/2006,9
11/26/2006,6
12/3/2006,3
12/10/2006,8
12/17/2006,16
12/24/2006,9
12/31/2006,11
1/7/2007,14
1/14/2007,13
1/21/2007,26
1/28/2007,21
2/4/2007,18
2/11/2007,9
2/18/2007,6
2/25/2007,5
3/4/2007,2
3/11/2007,8
3/18/2007,7
3/25/2007,3
4/1/2007,1
4/8/2007,9
4/15/2007,6
4/22/2007,9
4/29/2007,10
5/6/2007,11
5/13/2007,11
5/20/2007,6
5/27/2007,5
6/3/2007,11
6/10/2007,10
6/17/2007,10
6/24/2007,16
7/1/2007,18
7/8/2007,16
7/15/2007,30
7/22/2007,29
7/29/2007,39
8/5/2007,32
8/12/2007,26
8/19/2007,42
8/26/2007,29
9/2/2007,44
9/9/2007,29
9/16/2007,68
9/23/2007,60
9/30/2007,58
10/7/2007,53
10/14/2007,49
10/21/2007,46
10/28/2007,40
11/4/2007,25
11/11/2007,27
11/18/2007,25
11/25/2007,34
12/2/2007,8
12/9/2007,13
12/16/2007,12
12/23/2007,13
12/30/2007,16
1/6/2008,13
1/13/2008,10
1/20/2008,17
1/27/2008,13
2/3/2008,8
2/10/2008,4
2/17/2008,11
