year/week,DTTOMETRO-VE
1/2/2005,27
1/9/2005,46
1/16/2005,33
1/23/2005,58
1/30/2005,30
2/6/2005,37
2/13/2005,40
2/20/2005,21
2/27/2005,23
3/6/2005,14
3/13/2005,18
3/20/2005,22
3/27/2005,19
4/3/2005,21
4/10/2005,16
4/17/2005,25
4/24/2005,23
5/1/2005,21
5/8/2005,23
5/15/2005,22
5/22/2005,23
5/29/2005,31
6/5/2005,31
6/12/2005,29
6/19/2005,46
6/26/2005,61
7/3/2005,50
7/10/2005,40
7/17/2005,72
7/24/2005,80
7/31/2005,65
8/7/2005,128
8/14/2005,123
8/21/2005,146
8/28/2005,136
9/4/2005,149
9/11/2005,87
9/18/2005,108
9/25/2005,174
10/2/2005,140
10/9/2005,136
10/16/2005,117
10/23/2005,95
10/30/2005,97
11/6/2005,86
11/13/2005,82
11/20/2005,95
11/27/2005,81
12/4/2005,68
12/11/2005,77
12/18/2005,39
12/25/2005,53
1/1/2006,35
1/8/2006,48
1/15/2006,44
1/22/2006,51
1/29/2006,49
2/5/2006,27
2/12/2006,37
2/19/2006,46
2/26/2006,39
3/5/2006,26
3/12/2006,36
3/19/2006,32
3/26/2006,74
4/2/2006,56
4/9/2006,33
4/16/2006,30
4/23/2006,32
4/30/2006,19
5/7/2006,22
5/14/2006,34
5/21/2006,33
5/28/2006,21
6/4/2006,24
6/11/2006,27
6/18/2006,40
6/25/2006,41
7/2/2006,50
7/9/2006,40
7/16/2006,31
7/23/2006,30
7/30/2006,23
8/6/2006,34
8/13/2006,36
8/20/2006,31
8/27/2006,44
9/3/2006,34
9/10/2006,24
9/17/2006,28
9/24/2006,25
10/1/2006,38
10/8/2006,27
10/15/2006,37
10/22/2006,42
10/29/2006,29
11/5/2006,30
11/12/2006,30
11/19/2006,64
11/26/2006,34
12/3/2006,45
12/10/2006,38
12/17/2006,45
12/24/2006,42
12/31/2006,23
1/7/2007,51
1/14/2007,32
1/21/2007,41
1/28/2007,41
2/4/2007,27
2/11/2007,29
2/18/2007,24
2/25/2007,22
3/4/2007,26
3/11/2007,33
3/18/2007,31
3/25/2007,12
4/1/2007,38
4/8/2007,25
4/15/2007,21
4/22/2007,22
4/29/2007,22
5/6/2007,31
5/13/2007,28
5/20/2007,25
5/27/2007,48
6/3/2007,36
6/10/2007,50
6/17/2007,60
6/24/2007,43
7/1/2007,40
7/8/2007,48
7/15/2007,57
7/22/2007,47
7/29/2007,78
8/5/2007,100
8/12/2007,109
8/19/2007,98
8/26/2007,144
9/2/2007,108
9/9/2007,90
9/16/2007,125
9/23/2007,128
9/30/2007,124
10/7/2007,128
