year/week,MERIDA-VE
1/2/2005,19
1/9/2005,27
1/16/2005,15
1/23/2005,30
1/30/2005,30
2/6/2005,17
2/13/2005,23
2/20/2005,25
2/27/2005,46
3/6/2005,33
3/13/2005,29
3/20/2005,16
3/27/2005,35
4/3/2005,23
4/10/2005,25
4/17/2005,12
4/24/2005,26
5/1/2005,26
5/8/2005,31
5/15/2005,31
5/22/2005,29
5/29/2005,28
6/5/2005,38
6/12/2005,33
6/19/2005,47
6/26/2005,44
7/3/2005,52
7/10/2005,67
7/17/2005,92
7/24/2005,107
7/31/2005,135
8/7/2005,126
8/14/2005,119
8/21/2005,138
8/28/2005,123
9/4/2005,161
9/11/2005,165
9/18/2005,154
9/25/2005,169
10/2/2005,172
10/9/2005,90
10/16/2005,115
10/23/2005,89
10/30/2005,97
11/6/2005,103
11/13/2005,72
11/20/2005,90
11/27/2005,92
12/4/2005,88
12/11/2005,57
12/18/2005,63
12/25/2005,58
1/1/2006,90
1/8/2006,61
1/15/2006,65
1/22/2006,58
1/29/2006,76
2/5/2006,69
2/12/2006,61
2/19/2006,62
2/26/2006,62
3/5/2006,55
3/12/2006,73
3/19/2006,56
3/26/2006,65
4/2/2006,48
4/9/2006,61
4/16/2006,63
4/23/2006,70
4/30/2006,68
5/7/2006,64
5/14/2006,95
5/21/2006,76
5/28/2006,92
6/4/2006,101
6/11/2006,90
6/18/2006,85
6/25/2006,57
7/2/2006,51
7/9/2006,49
7/16/2006,42
7/23/2006,52
7/30/2006,44
8/6/2006,43
8/13/2006,31
8/20/2006,27
8/27/2006,22
9/3/2006,31
9/10/2006,27
9/17/2006,14
9/24/2006,24
10/1/2006,18
10/8/2006,32
10/15/2006,28
10/22/2006,24
10/29/2006,23
11/5/2006,32
11/12/2006,29
11/19/2006,21
11/26/2006,21
12/3/2006,18
12/10/2006,19
12/17/2006,20
12/24/2006,30
12/31/2006,36
1/7/2007,46
1/14/2007,37
1/21/2007,28
1/28/2007,40
2/4/2007,31
2/11/2007,47
2/18/2007,37
2/25/2007,46
3/4/2007,28
3/11/2007,34
3/18/2007,29
3/25/2007,25
4/1/2007,22
4/8/2007,32
4/15/2007,35
4/22/2007,39
4/29/2007,31
5/6/2007,44
5/13/2007,36
5/20/2007,60
5/27/2007,56
6/3/2007,72
6/10/2007,108
6/17/2007,85
6/24/2007,88
7/1/2007,109
7/8/2007,97
7/15/2007,103
7/22/2007,119
7/29/2007,119
8/5/2007,135
8/12/2007,140
8/19/2007,112
8/26/2007,98
9/2/2007,126
9/9/2007,116
9/16/2007,93
9/23/2007,123
9/30/2007,118
10/7/2007,136
10/14/2007,135
10/21/2007,100
10/28/2007,149
