year/week,TACHIRA-VE
1/2/2005,24
1/9/2005,69
1/16/2005,44
1/23/2005,41
1/30/2005,40
2/6/2005,33
2/13/2005,35
2/20/2005,55
2/27/2005,45
3/6/2005,46
3/13/2005,43
3/20/2005,38
3/27/2005,40
4/3/2005,50
4/10/2005,63
4/17/2005,50
4/24/2005,63
5/1/2005,50
5/8/2005,55
5/15/2005,92
5/22/2005,74
5/29/2005,94
6/5/2005,88
6/12/2005,104
6/19/2005,101
6/26/2005,131
7/3/2005,126
7/10/2005,135
7/17/2005,86
7/24/2005,83
7/31/2005,77
8/7/2005,79
8/14/2005,89
8/21/2005,79
8/28/2005,73
9/4/2005,79
9/11/2005,75
9/18/2005,69
9/25/2005,89
10/2/2005,103
10/9/2005,95
10/16/2005,86
10/23/2005,79
10/30/2005,69
11/6/2005,76
11/13/2005,62
11/20/2005,89
11/27/2005,51
12/4/2005,55
12/11/2005,48
12/18/2005,45
12/25/2005,77
1/1/2006,71
1/8/2006,46
1/15/2006,57
1/22/2006,60
1/29/2006,57
2/5/2006,66
2/12/2006,58
2/19/2006,33
2/26/2006,26
3/5/2006,38
3/12/2006,29
3/19/2006,39
3/26/2006,37
4/2/2006,31
4/9/2006,35
4/16/2006,49
4/23/2006,33
4/30/2006,25
5/7/2006,47
5/14/2006,48
5/21/2006,63
5/28/2006,57
6/4/2006,53
6/11/2006,78
6/18/2006,91
6/25/2006,74
7/2/2006,80
7/9/2006,63
7/16/2006,50
7/23/2006,41
7/30/2006,23
8/6/2006,45
8/13/2006,24
8/20/2006,27
8/27/2006,43
9/3/2006,31
9/10/2006,20
9/17/2006,13
9/24/2006,26
10/1/2006,26
10/8/2006,24
10/15/2006,23
10/22/2006,33
10/29/2006,26
11/5/2006,26
11/12/2006,27
11/19/2006,36
11/26/2006,32
12/3/2006,14
12/10/2006,12
12/17/2006,12
12/24/2006,13
12/31/2006,24
1/7/2007,16
1/14/2007,30
1/21/2007,22
1/28/2007,28
2/4/2007,38
2/11/2007,32
2/18/2007,44
2/25/2007,19
3/4/2007,41
3/11/2007,47
3/18/2007,41
3/25/2007,20
4/1/2007,19
4/8/2007,30
4/15/2007,36
4/22/2007,35
4/29/2007,33
5/6/2007,50
5/13/2007,45
5/20/2007,46
5/27/2007,47
6/3/2007,44
6/10/2007,87
6/17/2007,65
6/24/2007,69
7/1/2007,56
7/8/2007,71
7/15/2007,52
7/22/2007,54
7/29/2007,71
8/5/2007,48
8/12/2007,46
8/19/2007,46
8/26/2007,44
9/2/2007,64
9/9/2007,46
9/16/2007,45
9/23/2007,58
9/30/2007,77
10/7/2007,77
10/14/2007,83
10/21/2007,84
10/28/2007,30
11/4/2007,52
11/11/2007,33
11/18/2007,44
11/25/2007,26
12/2/2007,18
12/9/2007,35
12/16/2007,25
12/23/2007,51
12/30/2007,62
1/6/2008,73
1/13/2008,76
1/20/2008,89
1/27/2008,79
2/3/2008,69
2/10/2008,47
2/17/2008,87
2/24/2008,60
3/2/2008,63
3/9/2008,57
3/16/2008,48
3/23/2008,43
3/30/2008,24
4/6/2008,21
4/13/2008,27
4/20/2008,20
4/27/2008,26
5/4/2008,21
5/11/2008,41
5/18/2008,36
5/25/2008,37
6/1/2008,30
6/8/2008,32
6/15/2008,30
6/22/2008,36
6/29/2008,32
7/6/2008,47
7/13/2008,40
7/20/2008,39
7/27/2008,37
8/3/2008,35
8/10/2008,22
8/17/2008,40
8/24/2008,32
8/31/2008,36
9/7/2008,34
9/14/2008,36
9/21/2008,28
9/28/2008,30
10/5/2008,27
10/12/2008,27
10/19/2008,33
10/26/2008,36
11/2/2008,37
11/9/2008,56
11/16/2008,35
11/23/2008,37
11/30/2008,33
12/7/2008,42
12/14/2008,34
12/21/2008,23
12/28/2008,30
1/4/2009,23
1/11/2009,33
1/18/2009,38
1/25/2009,33
2/1/2009,37
2/8/2009,31
2/15/2009,27
2/22/2009,10
3/1/2009,30
3/8/2009,29
3/15/2009,33
3/22/2009,19
3/29/2009,21
4/5/2009,9
4/12/2009,27
4/19/2009,40
4/26/2009,18
5/3/2009,25
5/10/2009,18
5/17/2009,19
5/24/2009,27
5/31/2009,31
6/7/2009,27
6/14/2009,40
6/21/2009,57
6/28/2009,40
7/5/2009,24
7/12/2009,39
7/19/2009,29
7/26/2009,28
8/2/2009,36
8/9/2009,29
8/16/2009,31
8/23/2009,36
8/30/2009,32
9/6/2009,34
9/13/2009,33
9/20/2009,27
9/27/2009,30
10/4/2009,17
10/11/2009,39
10/18/2009,40
10/25/2009,50
11/1/2009,47
11/8/2009,70
11/15/2009,64
11/22/2009,81
11/29/2009,77
12/6/2009,34
12/13/2009,34
12/20/2009,52
12/27/2009,25
1/3/2010,81
1/10/2010,71
1/17/2010,85
1/24/2010,85
1/31/2010,116
2/7/2010,129
2/14/2010,111
2/21/2010,129
2/28/2010,134
3/7/2010,144
3/14/2010,148
3/21/2010,107
3/28/2010,144
4/4/2010,201
4/11/2010,168
4/18/2010,187
4/25/2010,192
5/2/2010,265
5/9/2010,321
5/16/2010,424
5/23/2010,367
5/30/2010,435
6/6/2010,380
6/13/2010,333
6/20/2010,247
6/27/2010,258
7/4/2010,199
7/11/2010,184
7/18/2010,215
7/25/2010,180
8/1/2010,132
8/8/2010,94
8/15/2010,129
8/22/2010,103
8/29/2010,84
9/5/2010,85
9/12/2010,63
9/19/2010,42
9/26/2010,45
10/3/2010,36
10/10/2010,34
10/17/2010,38
10/24/2010,50
10/31/2010,38
11/7/2010,44
11/14/2010,54
11/21/2010,64
11/28/2010,41
12/5/2010,29
12/12/2010,33
12/19/2010,18
12/26/2010,22
1/2/2011,25
1/9/2011,29
1/16/2011,23
1/23/2011,40
1/30/2011,25
2/6/2011,17
2/13/2011,14
2/20/2011,18
2/27/2011,20
3/6/2011,10
3/13/2011,20
3/20/2011,17
3/27/2011,26
4/3/2011,15
4/10/2011,10
4/17/2011,11
4/24/2011,7
5/1/2011,13
5/8/2011,10
5/15/2011,14
5/22/2011,16
5/29/2011,10
6/5/2011,13
6/12/2011,8
6/19/2011,9
6/26/2011,12
7/3/2011,2
7/10/2011,7
7/17/2011,7
7/24/2011,6
7/31/2011,7
8/7/2011,12
8/14/2011,8
8/21/2011,12
8/28/2011,13
9/4/2011,11
9/11/2011,2
9/18/2011,6
9/25/2011,4
10/2/2011,3
10/9/2011,9
10/16/2011,4
10/23/2011,7
10/30/2011,13
11/6/2011,10
11/13/2011,4
11/20/2011,19
11/27/2011,23
12/4/2011,21
12/11/2011,13
12/18/2011,6
12/25/2011,8
1/1/2012,17
1/8/2012,19
1/15/2012,10
1/22/2012,12
1/29/2012,11
2/5/2012,11
2/12/2012,11
2/19/2012,13
2/26/2012,19
3/4/2012,13
3/11/2012,14
3/18/2012,11
3/25/2012,13
4/1/2012,18
4/8/2012,26
4/15/2012,10
4/22/2012,18
4/29/2012,23
5/6/2012,15
5/13/2012,23
5/20/2012,25
5/27/2012,31
6/3/2012,15
6/10/2012,25
6/17/2012,26
6/24/2012,19
7/1/2012,25
7/8/2012,13
7/15/2012,20
7/22/2012,25
7/29/2012,18
8/5/2012,20
8/12/2012,18
8/19/2012,16
8/26/2012,23
9/2/2012,16
9/9/2012,20
9/16/2012,23
9/23/2012,20
9/30/2012,14
10/7/2012,17
10/14/2012,17
10/21/2012,27
10/28/2012,27
11/4/2012,21
11/11/2012,23
11/18/2012,27
11/25/2012,21
12/2/2012,30
12/9/2012,24
12/16/2012,29
12/23/2012,21
12/30/2012,11
1/6/2013,25
1/13/2013,20
1/20/2013,33
1/27/2013,51
2/3/2013,45
2/10/2013,68
2/17/2013,67
2/24/2013,37
3/3/2013,37
3/10/2013,44
3/17/2013,40
3/24/2013,32
3/31/2013,48
4/7/2013,43
4/14/2013,39
4/21/2013,61
4/28/2013,67
5/5/2013,74
5/12/2013,108
5/19/2013,147
5/26/2013,114
6/2/2013,111
6/9/2013,97
6/16/2013,94
6/23/2013,50
6/30/2013,81
7/7/2013,89
7/14/2013,79
7/21/2013,63
7/28/2013,42
8/4/2013,63
8/11/2013,57
8/18/2013,59
8/25/2013,53
9/1/2013,48
9/8/2013,74
9/15/2013,70
9/22/2013,90
9/29/2013,76
10/6/2013,70
10/13/2013,85
10/20/2013,84
10/27/2013,98
11/3/2013,116
11/10/2013,82
11/17/2013,97
11/24/2013,93
12/1/2013,76
12/8/2013,97
12/15/2013,98
12/22/2013,67
12/29/2013,67
1/5/2014,87
1/12/2014,107
1/19/2014,81
1/26/2014,96
2/2/2014,70
2/9/2014,84
2/16/2014,49
2/23/2014,32
3/2/2014,40
3/9/2014,41
3/16/2014,40
3/23/2014,44
3/30/2014,53
4/6/2014,59
4/13/2014,48
4/20/2014,42
4/27/2014,49
5/4/2014,57
5/11/2014,74
5/18/2014,65
5/25/2014,88
6/1/2014,113
6/8/2014,104
6/15/2014,105
6/22/2014,112
6/29/2014,108
7/6/2014,146
7/13/2014,112
7/20/2014,121
7/27/2014,105
8/3/2014,120
8/10/2014,104
8/17/2014,73
8/24/2014,81
8/31/2014,144
9/7/2014,131
9/14/2014,148
9/21/2014,162
9/28/2014,168
10/5/2014,145
10/12/2014,175
10/19/2014,131
10/26/2014,138
11/2/2014,142
11/9/2014,89
11/16/2014,79
11/23/2014,86
11/30/2014,69
12/7/2014,34
12/14/2014,30
12/21/2014,23
12/28/2014,21
