year/week,TRUJILLO-VE
1/2/2005,33
1/9/2005,32
1/16/2005,28
1/23/2005,27
1/30/2005,29
2/6/2005,32
2/13/2005,25
2/20/2005,27
2/27/2005,28
3/6/2005,35
3/13/2005,54
3/20/2005,31
3/27/2005,54
4/3/2005,49
4/10/2005,49
4/17/2005,41
4/24/2005,36
5/1/2005,36
5/8/2005,39
5/15/2005,39
5/22/2005,26
5/29/2005,46
6/5/2005,33
6/12/2005,32
6/19/2005,21
6/26/2005,47
7/3/2005,28
7/10/2005,25
7/17/2005,43
7/24/2005,44
7/31/2005,38
8/7/2005,101
8/14/2005,35
8/21/2005,79
8/28/2005,72
9/4/2005,53
9/11/2005,82
9/18/2005,78
9/25/2005,81
10/2/2005,56
10/9/2005,51
10/16/2005,50
10/23/2005,39
10/30/2005,32
11/6/2005,40
11/13/2005,25
11/20/2005,18
11/27/2005,21
12/4/2005,13
12/11/2005,21
12/18/2005,12
12/25/2005,23
1/1/2006,24
1/8/2006,26
1/15/2006,23
1/22/2006,29
1/29/2006,30
2/5/2006,42
2/12/2006,41
2/19/2006,35
2/26/2006,25
3/5/2006,53
3/12/2006,55
3/19/2006,57
3/26/2006,44
4/2/2006,47
4/9/2006,40
4/16/2006,51
4/23/2006,43
4/30/2006,36
5/7/2006,47
5/14/2006,39
5/21/2006,56
5/28/2006,49
6/4/2006,25
6/11/2006,40
6/18/2006,24
6/25/2006,42
7/2/2006,17
7/9/2006,42
7/16/2006,38
7/23/2006,30
7/30/2006,20
8/6/2006,27
8/13/2006,21
8/20/2006,14
8/27/2006,7
9/3/2006,10
9/10/2006,10
9/17/2006,5
9/24/2006,4
10/1/2006,8
10/8/2006,13
10/15/2006,7
10/22/2006,15
10/29/2006,11
11/5/2006,12
11/12/2006,17
11/19/2006,13
11/26/2006,6
12/3/2006,14
12/10/2006,8
12/17/2006,5
12/24/2006,23
12/31/2006,25
1/7/2007,32
1/14/2007,39
1/21/2007,23
1/28/2007,40
2/4/2007,71
2/11/2007,31
2/18/2007,32
2/25/2007,21
3/4/2007,32
3/11/2007,41
3/18/2007,13
3/25/2007,36
4/1/2007,10
4/8/2007,27
4/15/2007,21
4/22/2007,42
4/29/2007,31
5/6/2007,28
5/13/2007,50
5/20/2007,41
5/27/2007,56
6/3/2007,48
6/10/2007,54
6/17/2007,61
6/24/2007,71
7/1/2007,57
7/8/2007,77
7/15/2007,48
7/22/2007,49
7/29/2007,62
8/5/2007,54
8/12/2007,98
8/19/2007,52
8/26/2007,90
9/2/2007,61
9/9/2007,100
9/16/2007,63
9/23/2007,59
9/30/2007,76
10/7/2007,83
10/14/2007,93
10/21/2007,100
10/28/2007,63
11/4/2007,73
11/11/2007,99
11/18/2007,79
11/25/2007,96
12/2/2007,78
12/9/2007,116
12/16/2007,76
12/23/2007,69
12/30/2007,44
1/6/2008,99
1/13/2008,112
1/20/2008,102
1/27/2008,99
2/3/2008,60
2/10/2008,62
2/17/2008,86
2/24/2008,83
3/2/2008,65
3/9/2008,42
3/16/2008,47
3/23/2008,43
3/30/2008,36
4/6/2008,36
4/13/2008,47
4/20/2008,24
4/27/2008,38
5/4/2008,30
5/11/2008,45
5/18/2008,50
5/25/2008,43
6/1/2008,21
6/8/2008,42
6/15/2008,58
6/22/2008,33
6/29/2008,35
7/6/2008,50
7/13/2008,31
7/20/2008,21
7/27/2008,19
8/3/2008,21
8/10/2008,24
8/17/2008,19
8/24/2008,18
8/31/2008,27
9/7/2008,27
9/14/2008,32
9/21/2008,33
9/28/2008,25
10/5/2008,35
10/12/2008,33
10/19/2008,40
10/26/2008,53
11/2/2008,27
11/9/2008,44
11/16/2008,39
11/23/2008,30
11/30/2008,28
12/7/2008,38
12/14/2008,38
