year/week,ZULIA-VE
1/2/2005,82
1/9/2005,68
1/16/2005,76
1/23/2005,88
1/30/2005,77
2/6/2005,54
2/13/2005,59
2/20/2005,58
2/27/2005,54
3/6/2005,51
3/13/2005,59
3/20/2005,33
3/27/2005,41
4/3/2005,38
4/10/2005,14
4/17/2005,23
4/24/2005,22
5/1/2005,18
5/8/2005,16
5/15/2005,20
5/22/2005,20
5/29/2005,17
6/5/2005,30
6/12/2005,34
6/19/2005,42
6/26/2005,39
7/3/2005,38
7/10/2005,30
7/17/2005,53
7/24/2005,36
7/31/2005,36
8/7/2005,40
8/14/2005,38
8/21/2005,46
8/28/2005,47
9/4/2005,58
9/11/2005,36
9/18/2005,34
9/25/2005,39
10/2/2005,40
10/9/2005,31
10/16/2005,51
10/23/2005,50
10/30/2005,37
11/6/2005,39
11/13/2005,41
11/20/2005,76
11/27/2005,68
12/4/2005,52
12/11/2005,67
12/18/2005,56
12/25/2005,88
1/1/2006,108
1/8/2006,126
1/15/2006,127
1/22/2006,116
1/29/2006,117
2/5/2006,117
2/12/2006,125
2/19/2006,142
2/26/2006,106
3/5/2006,112
3/12/2006,100
3/19/2006,120
3/26/2006,156
4/2/2006,157
4/9/2006,128
4/16/2006,156
4/23/2006,169
4/30/2006,126
5/7/2006,131
5/14/2006,178
5/21/2006,191
5/28/2006,258
6/4/2006,255
6/11/2006,323
6/18/2006,302
6/25/2006,312
7/2/2006,273
7/9/2006,273
7/16/2006,196
7/23/2006,152
7/30/2006,144
8/6/2006,128
8/13/2006,95
8/20/2006,93
8/27/2006,64
9/3/2006,92
9/10/2006,66
9/17/2006,65
9/24/2006,79
10/1/2006,91
10/8/2006,85
10/15/2006,73
10/22/2006,145
10/29/2006,129
11/5/2006,173
11/12/2006,189
11/19/2006,231
11/26/2006,323
12/3/2006,354
12/10/2006,408
12/17/2006,467
12/24/2006,518
12/31/2006,501
1/7/2007,695
1/14/2007,650
1/21/2007,702
1/28/2007,576
2/4/2007,514
2/11/2007,402
2/18/2007,279
2/25/2007,272
3/4/2007,234
3/11/2007,196
3/18/2007,154
3/25/2007,120
4/1/2007,94
4/8/2007,113
4/15/2007,103
4/22/2007,120
4/29/2007,91
5/6/2007,99
5/13/2007,122
5/20/2007,157
5/27/2007,147
6/3/2007,163
6/10/2007,208
6/17/2007,256
6/24/2007,282
7/1/2007,194
7/8/2007,266
7/15/2007,265
7/22/2007,204
7/29/2007,259
8/5/2007,322
8/12/2007,272
8/19/2007,370
8/26/2007,331
9/2/2007,349
9/9/2007,351
9/16/2007,343
9/23/2007,510
9/30/2007,496
10/7/2007,525
10/14/2007,565
10/21/2007,632
10/28/2007,541
11/4/2007,623
11/11/2007,764
11/18/2007,676
11/25/2007,726
12/2/2007,708
12/9/2007,837
12/16/2007,697
12/23/2007,611
12/30/2007,650
1/6/2008,641
1/13/2008,737
1/20/2008,602
1/27/2008,561
2/3/2008,368
2/10/2008,283
