,Region,ScoreType,BestSource,SourcesSet,Value,IsBest,NbFolds
0,Amazonas,OOS,Colombia & GT by State,Colombia,0.1177791646434283,False,1
1,Amazonas,InSample,Colombia & GT by State,Colombia,0.4829147948049382,False,1
2,Anzoategui,OOS,Colombia & GT,Colombia,-4.650106327394038,False,1
3,Anzoategui,InSample,Colombia & GT,Colombia,0.555504287070985,False,1
4,Apure,OOS,Colombia & GT,Colombia,-0.7010678902859339,False,1
5,Apure,InSample,Colombia & GT,Colombia,0.5022122778232425,False,1
6,Aragua,OOS,Colombia & GT by State,Colombia,-0.9182008264272772,False,1
7,Aragua,InSample,Colombia & GT by State,Colombia,0.5533698224865711,False,1
8,Barinas,OOS,Colombia Border & GT,Colombia,-0.4857813921212961,False,1
9,Barinas,InSample,Colombia Border & GT,Colombia,0.4952852278013992,False,1
10,Bolivar,OOS,Colombia Border & GT,Colombia,0.18539494956257707,False,1
11,Bolivar,InSample,Colombia Border & GT,Colombia,0.25767532980363594,False,1
12,Carabobo,OOS,Colombia & GT,Colombia,-0.1096174612084546,False,1
13,Carabobo,InSample,Colombia & GT,Colombia,0.5874597298339727,False,1
14,Cojedes,OOS,Colombia & GT,Colombia,-0.7374199667090888,False,1
15,Cojedes,InSample,Colombia & GT,Colombia,0.4453683887709289,False,1
16,Delta Amacuro,OOS,Colombia & GT,Colombia,0.3492159203599987,False,1
17,Delta Amacuro,InSample,Colombia & GT,Colombia,0.471981745301164,False,1
18,Distrito Federal,OOS,Colombia & GT,Colombia,0.01005263280435542,False,1
19,Distrito Federal,InSample,Colombia & GT,Colombia,0.7012400378292865,False,1
20,Falcon,OOS,Colombia Border & GT,Colombia,-0.9928684550972636,False,1
21,Falcon,InSample,Colombia Border & GT,Colombia,0.3587594254624233,False,1
22,Guarico,OOS,Colombia & GT,Colombia,-0.93181696877107,False,1
23,Guarico,InSample,Colombia & GT,Colombia,0.4736665863267231,False,1
24,Lara,OOS,Colombia Border & GT,Colombia,0.06432188989475107,False,1
25,Lara,InSample,Colombia Border & GT,Colombia,0.6579080688361011,False,1
26,Merida,OOS,Colombia & GT by State,Colombia,0.13709249007002722,False,1
27,Merida,InSample,Colombia & GT by State,Colombia,0.7693299651249267,False,1
28,Miranda,OOS,Colombia & GT,Colombia,-0.3821971241514668,False,1
29,Miranda,InSample,Colombia & GT,Colombia,0.6863710319652925,False,1
30,Monagas,OOS,Colombia & GT,Colombia,-1.3108946368883259,False,1
31,Monagas,InSample,Colombia & GT,Colombia,0.4783724985495304,False,1
32,Multiobjective,OOS,Colombia & GT,Colombia,-0.6143714026973508,False,1
33,Multiobjective,InSample,Colombia & GT,Colombia,0.5167212715420205,False,1
34,Nueva Esparta,OOS,Colombia & GT,Colombia,-0.3844731343396537,False,1
35,Nueva Esparta,InSample,Colombia & GT,Colombia,0.3194046981150113,False,1
36,Portuguesa,OOS,Colombia Border & GT,Colombia,0.02643338351372293,False,1
37,Portuguesa,InSample,Colombia Border & GT,Colombia,0.4556304898619529,False,1
38,Sucre,OOS,Colombia & GT,Colombia,-2.2154547902459103,False,1
39,Sucre,InSample,Colombia & GT,Colombia,0.5036386090419676,False,1
40,Tachira,OOS,Colombia & GT by State,Colombia,-0.2083243946093587,False,1
41,Tachira,InSample,Colombia & GT by State,Colombia,0.8109796622909603,False,1
42,Total,OOS,Colombia & GT,Colombia,-0.4062328576767944,False,1
43,Total,InSample,Colombia & GT,Colombia,0.6610252784921794,False,1
44,Trujillo,OOS,Colombia & GT,Colombia,-0.40020268704222106,False,1
45,Trujillo,InSample,Colombia & GT,Colombia,0.4042915464237753,False,1
46,Vargas,OOS,Colombia & GT,Colombia,-0.5994015101344821,False,1
47,Vargas,InSample,Colombia & GT,Colombia,0.4435742734300328,False,1
48,Yaracuy,OOS,Colombia & GT,Colombia,0.003952583682386268,False,1
49,Yaracuy,InSample,Colombia & GT,Colombia,0.593021053474152,False,1
50,Zulia,OOS,Colombia & GT,Colombia,-0.6113291138418251,False,1
51,Zulia,InSample,Colombia & GT,Colombia,0.3933509665795183,False,1
52,Amazonas,OOS,Colombia & GT by State,Colombia Border & GT,-0.029008746474026962,False,1
53,Amazonas,InSample,Colombia & GT by State,Colombia Border & GT,0.5290654414697091,False,1
54,Anzoategui,OOS,Colombia & GT,Colombia Border & GT,-0.2730206946843277,False,1
55,Anzoategui,InSample,Colombia & GT,Colombia Border & GT,0.6922037539423931,False,1
56,Apure,OOS,Colombia & GT,Colombia Border & GT,0.3098672242640597,False,1
57,Apure,InSample,Colombia & GT,Colombia Border & GT,0.5553950835747824,False,1
58,Aragua,OOS,Colombia & GT by State,Colombia Border & GT,-0.4475210161001244,False,1
59,Aragua,InSample,Colombia & GT by State,Colombia Border & GT,0.6756260121408239,False,1
60,Barinas,OOS,Colombia Border & GT,Colombia Border & GT,0.244606862422858,True,1
61,Barinas,InSample,Colombia Border & GT,Colombia Border & GT,0.5551772861547664,True,1
62,Bolivar,OOS,Colombia Border & GT,Colombia Border & GT,0.1231285012059834,True,1
63,Bolivar,InSample,Colombia Border & GT,Colombia Border & GT,0.3316620176624777,True,1
64,Carabobo,OOS,Colombia & GT,Colombia Border & GT,-0.047685315325614486,False,1
65,Carabobo,InSample,Colombia & GT,Colombia Border & GT,0.6341129054461263,False,1
66,Cojedes,OOS,Colombia & GT,Colombia Border & GT,0.1802037111494448,False,1
67,Cojedes,InSample,Colombia & GT,Colombia Border & GT,0.5470942854183997,False,1
68,Delta Amacuro,OOS,Colombia & GT,Colombia Border & GT,0.27075820314491794,False,1
69,Delta Amacuro,InSample,Colombia & GT,Colombia Border & GT,0.5256066329404745,False,1
70,Distrito Federal,OOS,Colombia & GT,Colombia Border & GT,0.1118532955261058,False,1
71,Distrito Federal,InSample,Colombia & GT,Colombia Border & GT,0.7937469755963347,False,1
72,Falcon,OOS,Colombia Border & GT,Colombia Border & GT,0.15117914382197215,True,1
73,Falcon,InSample,Colombia Border & GT,Colombia Border & GT,0.6110567236398068,True,1
74,Guarico,OOS,Colombia & GT,Colombia Border & GT,0.20813619541465145,False,1
75,Guarico,InSample,Colombia & GT,Colombia Border & GT,0.7259390390570215,False,1
76,Lara,OOS,Colombia Border & GT,Colombia Border & GT,0.174509164334803,True,1
77,Lara,InSample,Colombia Border & GT,Colombia Border & GT,0.7569142532660931,True,1
78,Merida,OOS,Colombia & GT by State,Colombia Border & GT,0.2091290317858588,False,1
79,Merida,InSample,Colombia & GT by State,Colombia Border & GT,0.774155043684325,False,1
80,Miranda,OOS,Colombia & GT,Colombia Border & GT,0.2822192449186733,False,1
81,Miranda,InSample,Colombia & GT,Colombia Border & GT,0.8427973602508221,False,1
82,Monagas,OOS,Colombia & GT,Colombia Border & GT,0.004588470376191589,False,1
83,Monagas,InSample,Colombia & GT,Colombia Border & GT,0.6414250940886118,False,1
84,Multiobjective,OOS,Colombia & GT,Colombia Border & GT,0.03839861183255777,False,1
85,Multiobjective,InSample,Colombia & GT,Colombia Border & GT,0.6382412936764837,False,1
86,Nueva Esparta,OOS,Colombia & GT,Colombia Border & GT,0.17514075050236275,False,1
87,Nueva Esparta,InSample,Colombia & GT,Colombia Border & GT,0.6298540767877098,False,1
88,Portuguesa,OOS,Colombia Border & GT,Colombia Border & GT,0.07649048890389076,True,1
89,Portuguesa,InSample,Colombia Border & GT,Colombia Border & GT,0.5232788332875526,True,1
90,Sucre,OOS,Colombia & GT,Colombia Border & GT,-0.5079471106034386,False,1
91,Sucre,InSample,Colombia & GT,Colombia Border & GT,0.6277810136266795,False,1
92,Tachira,OOS,Colombia & GT by State,Colombia Border & GT,0.2116682825087524,False,1
93,Tachira,InSample,Colombia & GT by State,Colombia Border & GT,0.7785393585636363,False,1
94,Total,OOS,Colombia & GT,Colombia Border & GT,0.34286372261284825,False,1
95,Total,InSample,Colombia & GT,Colombia Border & GT,0.8316596145645647,False,1
96,Trujillo,OOS,Colombia & GT,Colombia Border & GT,0.04378491254610306,False,1
97,Trujillo,InSample,Colombia & GT,Colombia Border & GT,0.597288800165769,False,1
98,Vargas,OOS,Colombia & GT,Colombia Border & GT,-0.3959146029304805,False,1
99,Vargas,InSample,Colombia & GT,Colombia Border & GT,0.6665735049850525,False,1
100,Yaracuy,OOS,Colombia & GT,Colombia Border & GT,0.18373467071166927,False,1
101,Yaracuy,InSample,Colombia & GT,Colombia Border & GT,0.7203053837015712,False,1
102,Zulia,OOS,Colombia & GT,Colombia Border & GT,-0.3383339834388988,False,1
103,Zulia,InSample,Colombia & GT,Colombia Border & GT,0.5821921687846717,False,1
104,Amazonas,OOS,Colombia & GT by State,Colombia & GT,0.07098843052457615,False,1
105,Amazonas,InSample,Colombia & GT by State,Colombia & GT,0.5157903220238541,False,1
106,Anzoategui,OOS,Colombia & GT,Colombia & GT,-2.636258651391276,True,1
107,Anzoategui,InSample,Colombia & GT,Colombia & GT,0.7988358343738688,True,1
108,Apure,OOS,Colombia & GT,Colombia & GT,-0.7727647878823449,True,1
109,Apure,InSample,Colombia & GT,Colombia & GT,0.6362137518981325,True,1
110,Aragua,OOS,Colombia & GT by State,Colombia & GT,-1.1369456198520578,False,1
111,Aragua,InSample,Colombia & GT by State,Colombia & GT,0.6751124074532944,False,1
112,Barinas,OOS,Colombia Border & GT,Colombia & GT,-0.2023284667805412,False,1
113,Barinas,InSample,Colombia Border & GT,Colombia & GT,0.5019706879881505,False,1
114,Bolivar,OOS,Colombia Border & GT,Colombia & GT,0.08465545080698911,False,1
115,Bolivar,InSample,Colombia Border & GT,Colombia & GT,0.319497379886893,False,1
116,Carabobo,OOS,Colombia & GT,Colombia & GT,-0.0486456958360646,True,1
117,Carabobo,InSample,Colombia & GT,Colombia & GT,0.6830027713427953,True,1
118,Cojedes,OOS,Colombia & GT,Colombia & GT,-0.13465821189144964,True,1
119,Cojedes,InSample,Colombia & GT,Colombia & GT,0.5545981596416559,True,1
120,Delta Amacuro,OOS,Colombia & GT,Colombia & GT,0.1961952006826433,True,1
121,Delta Amacuro,InSample,Colombia & GT,Colombia & GT,0.5701040188367448,True,1
122,Distrito Federal,OOS,Colombia & GT,Colombia & GT,0.11254801526896484,True,1
123,Distrito Federal,InSample,Colombia & GT,Colombia & GT,0.8288195844520213,True,1
124,Falcon,OOS,Colombia Border & GT,Colombia & GT,0.2696849495104867,False,1
125,Falcon,InSample,Colombia Border & GT,Colombia & GT,0.5713518233026456,False,1
126,Guarico,OOS,Colombia & GT,Colombia & GT,-0.459716482922206,True,1
127,Guarico,InSample,Colombia & GT,Colombia & GT,0.7313367161129348,True,1
