,Colombia,ColombiaBorderPlusGT,ColombiaPlusGT,ColombiaPlusGTByState,ColombiaPlusGTBySymptom,DengueGT_CO,GTByStateVenAndCol,GTVenezuela
0,,Dengue-AmazonasGT-VE,Dengue-AmazonasGT-VE,AmazonasGT-VE,DolorOjos-CO-GT,Dengue-BogotaGT-CO,AmazonasGT-VE,Dengue-AmazonasGT-VE
1,,Dengue-ApureGT-VE,Dengue-ApureGT-VE,Apure-VE-GT,,Dengue-BoyacaGT-CO,Apure-VE-GT,Dengue-ApureGT-VE
2,,Dengue-CojedesGT-VE,Dengue-CojedesGT-VE,Cojedes-VE-GT,,Dengue-CasanareGT-CO,Cojedes-VE-GT,Dengue-CojedesGT-VE
3,,Dengue-DeltaAmacuroGT-VE,Dengue-DeltaAmacuroGT-VE,DeltaAmacuroVE-GT,,Dengue-CaucaDepartmentGT-CO,DeltaAmacuroVE-GT,Dengue-DeltaAmacuroGT-VE
4,,Dengue-SucreGT-VE,Dengue-SucreGT-VE,Vargas-VE-GT,,Dengue-CesarGT-CO,Vargas-VE-GT,Dengue-SucreGT-VE
5,,Dengue-TáchiraGT-VE,Dengue-TáchiraGT-VE,Yaracuy-VE-GT,,Dengue-CordobaGT-CO,Yaracuy-VE-GT,Dengue-TáchiraGT-VE
6,,Dengue-VargasGT-VE,Dengue-VargasGT-VE,Arauca-CO-GT,,Dengue-LaGuajiraGT-CO,Arauca-CO-GT,Dengue-VargasGT-VE
7,,Dengue-YaracuyGT-VE,Dengue-YaracuyGT-VE,Bogota-CO-GT,,Dengue-MagdalenaGT-CO,Bogota-CO-GT,Dengue-YaracuyGT-VE
8,,DolorCabeza-BolívarGT-VE,DolorCabeza-BolívarGT-VE,Caqueta-CO-GT,,Dengue-NarinoGT-CO,Caqueta-CO-GT,DolorCabeza-BolívarGT-VE
9,,DolorCabeza-MirandaGT-VE,DolorCabeza-MirandaGT-VE,Cesar-CO-GT,,Dengue-NorthSantanderGT-CO,Cesar-CO-GT,DolorCabeza-MirandaGT-VE
10,,DolorGarganta-ZuliaGT-VE,DolorGarganta-ZuliaGT-VE,Cordoba-CO-GT,,Dengue-QuindioGT-CO,Cordoba-CO-GT,DolorGarganta-ZuliaGT-VE
11,,Fiebre-ApureGT-VE,Fiebre-ApureGT-VE,LaGuajira-CO-GT,,Dengue-SucreGT-CO,LaGuajira-CO-GT,Fiebre-ApureGT-VE
12,,Fiebre-BarinasGT-VE,Fiebre-BarinasGT-VE,Magdalena-CO-GT,,Dengue-TolimaGT-CO,Magdalena-CO-GT,Fiebre-BarinasGT-VE
13,,Fiebre-CojedesGT-VE,Fiebre-CojedesGT-VE,Narino-CO-GT,,DolorCabeza-BogotaGT-CO,Narino-CO-GT,Fiebre-CojedesGT-VE
14,,Fiebre-PortuguesaGT-VE,Fiebre-PortuguesaGT-VE,NorthSantander-CO-GT,,DolorCabeza-BoyacaGT-CO,NorthSantander-CO-GT,Fiebre-PortuguesaGT-VE
15,,Fiebre-VargasGT-VE,Fiebre-VargasGT-VE,Putumayo-CO-GT,,DolorCabeza-CaldasGT-CO,Putumayo-CO-GT,Fiebre-VargasGT-VE
16,,Fiebre-YaracuyGT-VE,Fiebre-YaracuyGT-VE,Quindio-CO-GT,,DolorCabeza-CasanareGT-CO,Quindio-CO-GT,Fiebre-YaracuyGT-VE
17,,Nausea-AraguaGT-VE,Nausea-AraguaGT-VE,SanAndres-CO-GT,,DolorCabeza-CesarGT-CO,SanAndres-CO-GT,Nausea-AraguaGT-VE
18,,Nausea-BolívarGT-VE,Nausea-BolívarGT-VE,Sucre-CO-GT,,DolorCabeza-CordobaGT-CO,Sucre-CO-GT,Nausea-BolívarGT-VE
19,,Nausea-CaraboboGT-VE,Nausea-CaraboboGT-VE,Tolima-CO-GT,,DolorCabeza-HuilaGT-CO,Tolima-CO-GT,Nausea-CaraboboGT-VE
20,,Nausea-ZuliaGT-VE,Nausea-ZuliaGT-VE,,,DolorCabeza-MagdalenaGT-CO,Boyaca-CO-GT,Nausea-ZuliaGT-VE
21,,Vomito-AraguaGT-VE,Vomito-AraguaGT-VE,,,DolorCabeza-NarinoGT-CO,,Vomito-AraguaGT-VE
22,,Vomito-BarinasGT-VE,Vomito-BarinasGT-VE,,,DolorCabeza-QuindioGT-CO,,Vomito-BarinasGT-VE
23,,Vomito-BolívarGT-VE,Vomito-BolívarGT-VE,,,DolorCabeza-SucreGT-CO,,Vomito-BolívarGT-VE
24,,Vomito-CaraboboGT-VE,Vomito-CaraboboGT-VE,,,DolorCabeza-TolimaGT-CO,,Vomito-CaraboboGT-VE
25,,Vomito-FalcónGT-VE,Vomito-FalcónGT-VE,,,DolorGarganta-AtlanticoGT-CO,,Vomito-FalcónGT-VE
